full_date,date,weekday,time,mood,activities,note_title,note
2024-06-20,20 jun,Jueves,7:35 p.m.,bien,sueño medio | películas y tv | leer | familia | compras | limpiar | cocinar | nubes | lluvia | clase,"",""
2024-06-19,19 jun,Miércoles,10:50 p.m.,bien,sueño medio | deporte | relajamiento | familia | lluvia | clase,"",""
2024-06-19,19 jun,Miércoles,2:20 a.m.,horrible,,"",""
2024-06-19,19 jun,Miércoles,1:54 a.m.,horrible,sueño malo,"",""
2024-06-18,18 jun,Martes,10:22 p.m.,meh,sueño medio | relajamiento,"",""
2024-06-18,18 jun,Martes,5:54 p.m.,bien,sueño medio | beber agua | leer | familia | limpiar | cocinar | soleado | calor,"",""
2024-06-17,17 jun,Lunes,9:27 p.m.,mal,,"",""
2024-06-17,17 jun,Lunes,9:24 p.m.,meh,sueño medio | calor,"",""
2024-06-17,17 jun,Lunes,8:30 p.m.,bien,sueño medio | hacer ejercicio | beber agua | películas y tv | familia | limpiar | cocinar | soleado | calor | cuidados de la piel,"",""
2024-06-16,16 jun,Domingo,9:18 p.m.,bien,sueño medio | andar | soleado | calor | cuidados de la piel,"",""
2024-06-15,15 jun,Sábado,11:07 p.m.,bien,sueño malo | beber agua | andar | películas y tv | amigos | lluvia | calor | cuidados de la piel,"",""
2024-06-15,15 jun,Sábado,4:02 p.m.,meh,sueño medio | andar | deporte | familia | compras | soleado | calor,"",""
2024-06-14,14 jun,Viernes,10:01 p.m.,meh,sueño malo | beber agua | andar | películas y tv | leer | familia | limpiar | nubes | calor | cuidados de la piel,"",""
2024-06-14,14 jun,Viernes,12:09 a.m.,meh,sueño medio | beber agua | películas y tv | leer | familia | compras | limpiar | cocinar | soleado | lluvia | cuidados de la piel,"",""
